HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
TBC1D3	17	38181659	38192541
RPL9P16	4	168755816	168756382
IP6K3	6	33721670	33746905
UBTD1	10	97498868	97571209
FAM69C	18	74434099	74457944
RPL12P27	10	97309138	97309958
RPS23P8	X	70962964	70963293
BTF3L4P4	4	168598240	168598757
OR2H5P	CHR_HSCHR6_MHC_MCF_CTG1	29573709	29574636
TMCC1-AS1	3	129893871	129918575
LINC00945	21	33057829	33064983
RARRES2P3	X	21421822	21422294
WDR45	X	49071470	49101170
CNDP2	18	74495816	74523454
LINC01431	20	23356594	23358116
GPR78	4	8558725	8619761
SCAF1	19	49642125	49658642
HACD2	3	123490820	123585185
ETV3L	1	157092044	157099808
ZNF165	6	28080975	28089563
RPL13P	CHR_HSCHR6_MHC_QBL_CTG1	28861404	28862035
SLC22A11	11	64555626	64572875
APOL6	22	35648395	35668409
CENPQ	6	49463378	49493107
KRT85	12	52360006	52367481
NAPEPLD	CHR_HSCHR7_1_CTG4_4	103099776	103149564
FAM153B	5	176060689	176132258
TRIP13	5	892643	919357
DENR	12	122752774	122771064
LINC00548	13	40194509	40220502
LY6G6D	CHR_HSCHR6_MHC_SSTO_CTG1	31706117	31708565
SYCP3	12	101728648	101739472
PIK3R1	5	68215720	68301821
FAM45A	10	119104086	119137984
PRR26	10	649948	669581
KIR2DL1	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54769815	54784318
REXO1	19	1815246	1848463
MYL3	3	46857872	46882169
NRBF2P3	1	110848077	110848941
XCL1	1	168576473	168582077
GDI2P1	7	48902556	48903891
LINC00332	13	40181809	40189028
NOP58	2	202265716	202303666
CDC14C	7	48919765	48926013
MED8	1	43383917	43389808
MTERF2	12	106977291	106987166
G2E3	14	30559123	30620063
ACTG1P23	3	175977497	175978570
NIP7	16	69339430	69343111
RPL29P11	3	37016523	37017014
TAS2R15P	CHR_HSCHR12_2_CTG2	10964425	10965352
EEF1DP8	11	62169293	62169828
LINC01040	13	89477608	89500509
SKA2P1	9	122761844	122762233
PIAS3	1	145848522	145859836
CELF4	18	37243047	37566037
LY6E	CHR_HSCHR8_4_CTG7	143017982	143023832
BHMT	5	79111779	79132290
RPL17P51	13	40224625	40224862
AMPD1	1	114673098	114695618
GOLGA8A	15	34379068	34437466
MCCD1	CHR_HSCHR6_MHC_DBB_CTG1	31510897	31512412
BRAF	7	140719327	140924764
FICD	12	108515185	108525837
GGT6	17	4556927	4560818
ZNF33AP1	10	37894637	37896666
POR	7	75899200	75986855
RPL36AP13	2	24334512	24335152
RABL2A	2	113627229	113643396
NKX2-5	5	173232109	173235357
IGHV3-57	CHR_HSCHR14_3_CTG1	106643575	106643854
LINC00884	3	194487454	194518279
UBE2V2P1	10	19051455	19052170
DUOX1	15	45129933	45165576
MMP20	11	102576835	102625332
IL17RD	3	57089982	57170306
EVX2	2	176077472	176083913
CRYBB2P1	22	25448105	25520854
SRPRB	3	133784033	133825772
FGFR2	10	121478334	121598458
TREM2	6	41158506	41163186
RASA2-IT1	3	141525133	141526121
ACOX1	17	75941507	75979363
YWHAQP6	3	141600276	141600579
CASQ2	1	115700007	115768781
MTND5P20	1	113576757	113576899
FASLG	1	172659018	172666874
LINC00674	17	68101908	68115518
RPS18	CHR_HSCHR6_MHC_DBB_CTG1	33249931	33254431
SERPINA6	CHR_HSCHR14_7_CTG1	94304248	94323394
AKAP7	6	131135666	131283535
GATB	4	151670504	151761023
IGHV3-54	CHR_HSCHR14_3_CTG1	106626027	106626473
GLT6D1	9	135623656	135639540
E2F5	8	85177225	85217158
IGHV3-53	CHR_HSCHR14_3_CTG1	106617357	106618028
DSCR4	21	37951425	38121360
RASA2	3	141487047	141615342
IFNWP19	9	21455484	21456049
VWA5B1	1	20290919	20354894
IGHV3-63	CHR_HSCHR14_3_CTG1	106676918	106677362
PSMB9	CHR_HSCHR6_MHC_MCF_CTG1	32877612	32913027
SLC2A11	22	23856703	23886309
IGHV4-61	CHR_HSCHR14_3_CTG1	106663800	106664338
SPOP	17	49598884	49678234
DDX43P1	5	115974513	115976275
ADI1	2	3497361	3519736
MTMR8	X	64268081	64395431
PRMT3	11	20387530	20509294
HOXA13	7	27193503	27200106
PDE2A	11	72576141	72674591
TCP11L2	12	106301929	106347015
ALX1	12	85280107	85301784
CHURC1	14	64914361	64944591
PBX2	CHR_HSCHR6_MHC_APD_CTG1	32251742	32257192
MCTP1	5	94703741	95284575
OR11M1P	12	48627888	48628782
FNBP4	11	47716517	47767443
UNC93B8	4	8959628	8963981
ABLIM2	4	7965310	8158832
ARHGEF4	2	130836916	131047263
LINC00656	20	23125068	23132621
CARS-AS1	CHR_HSCHR11_1_CTG7	3027879	3040098
KRT125P	12	52735266	52736142
DECR2	CHR_HSCHR16_CTG2	401826	412487
SLC36A1	5	151437046	151492381
CORO7	CHR_HSCHR16_3_CTG1	4356503	4427664
ARL14EPL	5	116032324	116060118
ZNF540	19	37551406	37614097
PTGES2-AS1	9	128128529	128130628
HLA-DQA2	CHR_HSCHR6_MHC_DBB_CTG1	32720520	32726372
RPL23AP43	3	32785646	32786116
CPNE1	20	35626031	35664956
TOMM22P1	Y	21130870	21131181
ACTN2	1	236686454	236764631
MRPL20P1	21	36994643	36995075
COIL	17	56938187	56961054
KRT18P19	2	189311263	189311967
KIR2DS4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54863003	54878657
MYCLP1	X	107272582	107273656
NEFLP1	Y	21221106	21222089
CMPK1	1	47333797	47378839
SERF2	15	43777087	43802589
CCL27	9	34661880	34664048
RPL10P3	9	117180628	117181095
NPEPPS	17	47522942	47623276
NKAPL	6	28259320	28260958
ALKBH4	7	102456238	102464876
LYL1	19	13099033	13103161
PSMC1P10	2	17385091	17386417
MMP28	CHR_HSCHR17_7_CTG4	35765873	35795707
NAPG	18	10525905	10552761
BTBD10P1	12	52748776	52750127
OR5C1	9	122788933	122789895
TRIM32	9	116687302	116701300
RALA	7	39623483	39708124
GALE	1	23795599	23800804
NDUFA5P6	12	126524248	126524626
DDI1	11	104036580	104039188
PIGFP2	9	123843036	123843686
SERPINA6	14	94304248	94323394
RPL36AL	14	49618519	49620685
RPL23AP93	3	194562978	194564001
TRPC7	5	136213320	136365537
ACTR3	2	113889960	113962596
ARPC2	2	218217094	218254356
NTNG2	9	132161676	132244534
ACTL6A	3	179562880	179588408
HNRNPCL4	1	13164586	13165467
GRPEL2-AS1	5	149348116	149357642
MRPS36P1	3	6773037	6773343
SNX6	14	34561094	34630183
STH	CHR_HSCHR17_1_CTG5	46098193	46098637
CNTFR-AS1	9	34568015	34582829
GAPDHP55	15	44063511	44064313
BTF3P12	8	70273369	70273837
PSPC1P2	13	24566843	24570728
C16orf90	16	3493484	3495480
C1orf27	1	186375838	186421378
KRAS	12	25204789	25250936
HBZP1	16	163122	165156
NT5C1A	1	39659121	39672038
RASD1	17	17494437	17496395
INHBA-AS1	7	41693916	41779388
AKR1A1	1	45550543	45570049
NTRK3	15	87859751	88256768
AGPAT4-IT1	6	161160105	161161982
GDPD2	X	70423031	70433390
UCHL1	4	41256413	41268455
NPM1P22	13	67831876	67832827
C1DP4	10	80040621	80041044
NMRK2	19	3933103	3942416
FAM66A	8	12362019	12388296
LGALS7	19	38770971	38773492
GABRG1	4	46035769	46124081
HMGN1P12	5	71537652	71537846
DDX39B-AS1	CHR_HSCHR6_MHC_DBB_CTG1	31524481	31525315
OR7E111P	13	67902208	67903221
KRTAP10-11	21	44646414	44647650
HBM	16	153892	166768
AGPAT4	6	161129979	161274061
TRDJ4	14	22455249	22455296
METTL15	11	28108248	28527041
MIR222HG	X	45745211	45770274
MINOS1P2	17	64747264	64747492
ASTN1	1	176857302	177164973
KRTAP10-9	21	44627123	44628293
RNF216-IT1	7	5662432	5680461
ATP6V1G2	CHR_HSCHR6_MHC_DBB_CTG1	31526639	31529021
TOMM34	20	44942130	44960486
FADS1	11	61799625	61829318
RBBP9	20	18486540	18497243
SOX21	13	94709622	94712399
HSPE1P9	2	234455157	234455783
PARP4	13	24420926	24512810
BDH1	CHR_HSCHR3_2_CTG3	197506664	197557450
SSTR2	17	73165012	73176633
RAB21	12	71754874	71800285
CFAP97	4	185159665	185209504
TRAJ34	14	22507666	22507723
TRAJ43	14	22495913	22495966
KRTAP12-1	21	44681576	44682163
UBE2L2	12	20449655	20450083
RPL7AP66	18	39334872	39335672
MALRD1	10	19048771	19790401
CST2	20	23823769	23826731
NCOA2	8	70109762	70403805
ATP5D	19	1241746	1244826
GPKOW	X	49113389	49123801
MUC20	CHR_HSCHR3_1_CTG3	195720882	195741123
NOTCH1	9	136494444	136545862
SLC25A19	17	75272981	75289510
NMNAT1P5	15	59964942	59966084
C14orf177	14	98711613	98717761
CECR9	22	17329034	17329232
RFXANK	19	19192229	19201869
ZNF180	19	44474428	44500524
VDAC1P6	Y	5207215	5208069
BEND5	1	48727523	48776969
SLITRK5	13	87672615	87696272
OR2AI1P	5	180692832	180693763
C8orf88	8	90958637	90985257
GALNT2	1	230057990	230282124
TRIM27	CHR_HSCHR6_MHC_QBL_CTG1	28902991	28923978
STX8P1	12	12771351	12771705
SNX3P1Y	Y	5634480	5634655
SCAMP1-AS1	5	78342365	78360507
ZNF449	X	135344796	135363152
CYCSP34	13	40863599	40863902
GGA2	16	23463542	23521995
DNASE1L1	X	154401238	154412112
MTCO2P17	2	202614853	202615529
SCGB1D1	11	62190216	62193539
RPS6KL1	14	74903954	74923396
FAM65C	20	50586108	50691528
LPAL2	6	160453428	160511124
STARD7-AS1	2	96208416	96242621
DDX24	14	94048291	94081245
EXOC3L1	16	67184366	67190204
SNRPGP10	1	205351247	205351471
TFPT	19	54107013	54115675
KIAA1522	1	32741885	32774970
TMPRSS11D	4	67820876	67884032
DPY19L2P2	CHR_HSCHR7_1_CTG4_4	103177764	103243284
CLSPN	1	35720218	35769967
SPC24	19	11131520	11155808
MTND1P20	10	69595487	69596436
C5orf63	5	127042558	127073492
OR6M1	11	123805335	123806387
SOX21-AS1	13	94712716	94716246
LINC01015	CHR_HSCHR6_MHC_MCF_CTG1	29529209	29533357
TEAD2	19	49340595	49362457
RPS20P22	8	38434347	38435664
TRAJ6	14	22539073	22539134
PROKR1	2	68643589	68658247
TMEM99	17	40819106	40836274
TRAV26-2	14	22202583	22203368
RNF216	7	5620047	5781739
DDAH2	CHR_HSCHR6_MHC_QBL_CTG1	31717256	31720835
SOD2P1	1	103100143	103100704
WDR86-AS1	7	151409161	151413354
CPSF4L	17	73248449	73262352
ASB18	2	236194872	236264409
HLA-L	CHR_HSCHR6_MHC_DBB_CTG1	30249873	30257227
TSPEAR	21	44497892	44711580
MED12L	3	151085697	151437072
PDE3A	12	20369245	20684381
RBBP4P1	5	14797125	14798400
PCID2	13	113177539	113208715
SOWAHC	2	109614334	109618990
KLHDC8A	1	205336065	205357090
KRT6B	12	52446651	52452126
DEFB118	20	31368618	31373923
C19orf33	19	38304161	38305009
MXD4	4	2247432	2262294
DSCR4-IT1	21	38006544	38010618
FSIP2	2	185738628	185833290
KRT8P42	6	134296997	134298695
WWC2	4	183099293	183320777
SPTY2D1	11	18606401	18634791
GALM	2	38665910	38741237
RAI2	X	17800049	17861337
C15orf38-AP3S2	15	89834308	89912882
CCDC28A	6	138773509	138793319
PITRM1	10	3137728	3172841
SUGT1P3	13	40882577	40921774
PSMB9	CHR_HSCHR6_MHC_COX_CTG1	32766454	32801905
HIST2H2AA4	1	149851061	149851624
C6orf10	CHR_HSCHR6_MHC_QBL_CTG1	32250505	32329363
LRRC19	9	26993136	27005693
PFN1P8	1	146957117	146957659
MYL8P	CHR_HSCHR6_MHC_DBB_CTG1	33316901	33317418
ZNF501	3	44729596	44737083
HMGB3P13	3	134437605	134438211
NOP56P1	CHR_HSCHR6_MHC_MANN_CTG1	28783623	28783994
HMGB1P18	1	80283352	80283970
EEF1A1P22	15	52937139	52938518
HIST2H2BC	1	149850193	149850772
LINC00353	13	89548691	89553804
TNPO1P3	17	20481330	20483991
KSR2	12	117453012	117968983
UBE2Q2P9	3	72006774	72006975
ACTG1P14	9	6834456	6835577
MME-AS1	3	155158370	155183285
HNRNPA1P13	5	136428892	136429854
CAPN3	15	42359500	42412318
CNPY1	7	155474206	155533862
ALG1L5P	7	6923804	6930835
KRT127P	12	52751978	52753821
HSPH1	13	31134974	31162388
EIF4A1P2	Y	5337745	5338964
PRELID3BP11	9	6734598	6735076
SNX18P5	9	42923277	42924144
PPIAP21	20	43230760	43231260
FAM86LP	7	6931684	6939603
ARL2BPP5	5	162761833	162762313
DDX60L	4	168356735	168537786
HMGN1P13	5	111572102	111572239
CSNK1G3	5	123512099	123617045
NDRG4	16	58462846	58513628
RPS4XP2	20	4629427	4630219
OR5T2	CHR_HG142_HG150_NOVEL_TEST	56232106	56233185
NREP-AS1	5	111912508	112017309
RAD51AP2	2	17510584	17518439
TRAV41	14	22320188	22320691
CCNB1IP1P1	1	44958557	44959395
GHITM	10	84139440	84153555
ITPKC	19	40717103	40740860
TRAJ11	14	22532502	22532561
OR5M5P	11	56526568	56527503
RSL24D1P5	12	63055275	63055765
TRAJ44	14	22494821	22494883
MAP7D1	1	36155579	36180849
TRAJ35	14	22506644	22506702
TMEM259	19	1009648	1021179
RPL30P2	2	152131555	152131845
TPT1P9	9	118082869	118083382
TBX22	X	80014756	80031769
SOX17	8	54457935	54460888
SMIM18	8	30638600	30646064
NPIPB4	16	21834569	21880827
PLXNA4	7	132123332	132648688
PELI1	2	64092652	64144454
DPT	1	168695459	168729264
GPR53P	CHR_HSCHR6_MHC_MCF_CTG1	29537493	29538576
PGLS	19	17511629	17521288
RFNG	17	82047902	82051831
RUSC1-AS1	1	155316863	155324176
SLC6A8	X	153688099	153696593
DQX1	2	74518131	74526336
ZFAND2A	7	1152071	1160759
TMEM223	11	62771629	62792021
CABP2	11	67518912	67523428
TTI1	20	37983007	38033468
FBXW10	17	18744024	18779349
LGALS2	22	37570246	37582616
TBC1D14	4	6909242	7033118
RPSAP66	17	60564740	60565671
KIR2DS4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54877320	54892899
CCDC189	16	30757423	30762710
AGK	7	141551189	141655244
ACTR3BP1	Y	11395699	11397076
PRSS51	8	10482878	10547585
OR2T6	1	248387609	248388535
SLC16A12-AS1	10	89456064	89468140
RNASEH2A	19	12806580	12813638
ZNF90P2	CHR_HSCHR6_MHC_QBL_CTG1	28888821	28889895
SEC61A2	10	12129637	12169961
RPS10P14	7	37375522	37376023
DYNLRB2	16	80540734	80550760
APOLD1	12	12725917	12829975
SLC16A12	10	89430299	89556641
SNRPD3	22	24555503	24609980
BMS1P12	9	65189995	65193610
NAIP	5	70968483	71025114
IL10	1	206767602	206772494
PRSS55	8	10525546	10554166
CLEC2D	12	9664969	9699555
MDC1-AS1	6	30703067	30713184
RNF223	1	1070966	1074307
OR2T1	1	248405995	248407104
MTERF3	8	96239398	96261610
GSTT2B	22	23957414	23961186
MAN1A2P1	19	28790812	28792871
RIMS1	6	71886703	72403143
PNPLA4	X	7898247	7927739
CORO7	16	4354542	4425705
HAUS3	4	2227464	2242164
CDH22	20	46173733	46308498
DENND1A	9	123379654	123930152
ACVR1B	12	51951667	51997078
KRT8P37	10	8513687	8515106
GLYAT	11	58640426	58731974
MMP11	22	23768226	23784316
RPS17P17	X	140470866	140471274
C2CD3	11	74012714	74171210
KDM5C-IT1	X	53212408	53214679
FAM99B	CHR_HSCHR11_1_CTG6	1688979	1691339
MRPS27	5	72219409	72320646
GBX2	2	236165236	236168369
RPS17P1	CHR_HSCHR6_MHC_APD_CTG1	29489340	29489745
MLLT4-AS1	6	167823876	167826709
MDC1	6	30699807	30717889
RADIL	7	4797055	4883719
ZNF564	19	12525370	12551542
DOLPP1	9	129081100	129090438
SUSD1	9	112040785	112175408
KIR3DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54724478	54736594
EI24P1	3	176068042	176068908
AGR3	7	16859405	16881987
CHST4	16	71525233	71538746
C9orf147	9	112433816	112487204
TSPAN19	12	85014311	85036277
FAM46B	1	27005020	27012836
TRAJ56	14	22479521	22479582
SDHAF2	11	61430042	61447529
TRAJ26	14	22518446	22518505
ASS1P5	X	115664895	115666133
CTSLP1	10	87386685	87390203
ZCCHC9	5	81301590	81313297
TRDJ3	14	22459098	22459156
ZNF736P5Y	Y	25018499	25019303
SLC5A10	17	18950345	19022595
TRAJ21	14	22523600	22523654
KCTD9P6	8	31219894	31220984
PLEKHG5	1	6466092	6520061
VWA5A	11	124115362	124147721
LHB	19	49015980	49017090
RBM19	12	113816738	113966371
NRSN2-AS1	20	320313	348224
UPK3BP1	7	77004662	77005774
TRAJ1	14	22545037	22545098
KLHL10	17	41835685	41848384
LINC01430	20	44448777	44450092
TRAV36DV7	14	22226746	22227254
EIF2B3	1	44850522	44986722
ERVFRD-1	6	11102489	11111732
LIPN	10	88761406	88778242
KRTAP12-2	21	44666189	44666927
OR2Y1	5	180739042	180740099
UQCRC2P1	3	46310591	46311922
EIF4EBP2P1	20	43423196	43423538
SPECC1L	22	24270817	24417740
PLK1	16	23677656	23690367
TRAJ49	14	22489488	22489543
SOX12	20	325401	330224
TMEM37	2	119429901	119438520
KRTAP10-1	21	44538981	44540195
TRAJ22	14	22522040	22522102
UGT1A8	2	233617645	233773310
IMMTP1	21	44675868	44678086
SMIM13	6	11094033	11138733
SLC22A17	14	23346306	23352912
C2orf83	2	227610090	227633320
SH3BP2	4	2793023	2841098
GOLIM4	3	168008677	168095975
KRTAP1-5	17	41026026	41027202
MLIP-IT1	6	53998890	54007152
ARHGEF12	11	120336914	120489936
MYO16-AS2	13	109101261	109101919
RBCK1	20	407498	430966
ERHP2	6	54016479	54016777
C20orf166-AS1	20	62544343	62551526
STARD7	2	96184859	96208825
KRT17P3	17	30567700	30571748
TPTE	21	10521553	10606140
HIST1H2BPS3	13	21483834	21484174
USP17L11	4	9215405	9217356
YWHAEP3	17	20491323	20491443
GLRA2	X	14529298	14731812
KCNJ12	17	21376197	21419872
ANKH	5	14704804	14871778
MET	7	116672390	116798386
IGKV1D-35	2	89895502	89895772
ERVH-1	4	23723262	23733579
MANBAL	20	37289638	37317260
TTTY7	Y	6449468	6457906
LY6G5B	CHR_HSCHR6_MHC_DBB_CTG1	31652558	31655955
RASSF6	4	73571550	73620631
FAM20C	CHR_HSCHR7_2_CTG1	195290	199896
LINC00864	10	87397023	87424792
FGL2	7	77193371	77199826
LINC01015	CHR_HSCHR6_MHC_DBB_CTG1	29529354	29533502
ATXN7L3B	12	74537827	74545430
LINC00845	10	61016275	61026420
CCAR1	10	68721012	68792377
TNS1	2	217799789	218002995
RIMKLB	12	8681600	8783095
KRT16P5	17	20493634	20494155
CYB5D1	17	7857746	7862282
PRDM12	9	130664594	130682981
RTCA	1	100266207	100292769
FAM63A	1	150996086	151008375
SOX3	X	140502987	140505503
MTFMT	15	65001512	65029639
ARID5B	10	61901300	62096944
KRT10	17	40818117	40822595
PRNP	20	4686236	4701590
MIR1-1HG	20	62550453	62570764
NCR3	CHR_HSCHR6_MHC_DBB_CTG1	31571039	31575129
BNIP3P19	19	20323992	20324568
GAGE2A	X	49589529	49596827
TRIM23	5	65589680	65625975
MBD3L5	19	7030577	7033011
YAP1P2	X	115069237	115069846
RPS4XP7	6	13521266	13522045
KIR2DL1	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54769756	54784259
AKAP2	9	110048598	110172512
ARL2BPP2	12	52763405	52763893
LINC01227	16	80566794	80572808
MYL12BP1	15	42571927	42572433
LDHAP2	1	235738005	235738989
IGFBP4	17	40443461	40457731
RPS20P35	17	38855314	38855670
EIF2B5-IT1	CHR_HSCHR3_5_CTG2_1	184510148	184513434
MATN3	2	19992111	20012694
KLHL23	2	169694488	169776989
GJB5	1	34755047	34758512
MAPT	CHR_HSCHR17_1_CTG5	46069784	46203150
LY6G6E	CHR_HSCHR6_MHC_SSTO_CTG1	31703097	31704573
ARHGAP21	10	24583609	24723668
KRTAP13-3	21	30425265	30425968
C1orf74	1	209779208	209784559
DDX6P1	CHR_HSCHR6_MHC_DBB_CTG1	29329677	29331112
KRTAP23-1	21	30348399	30348609
ARL5AP2	10	99013103	99013952
ELMO3	16	67199111	67204029
ASS1P2	2	38810432	38811654
C17orf99	17	78146353	78166177
LINC00327	13	23466571	23487464
HNRNPA1P64	1	80451083	80452004
RPL7P36	10	99047639	99048319
LINC01250	2	2895048	3126026
BRCC3P1	5	176308063	176309013
SPINK14	5	148169733	148175398
IMMP1L	11	31432401	31509645
SSXP4	X	52598494	52603289
LOXL1-AS1	15	73908071	73928248
C22orf24	22	31933521	31945518
KRTAP13-6P	21	30356515	30356885
KRTAP13-1	21	30396074	30396822
SERPINB5	18	63476761	63505085
SERPINE3	13	51335773	51364735
UBQLN1P1	CHR_HSCHR6_MHC_APD_CTG1	30427014	30428182
MYO16-AS1	13	109163902	109201483
OR2J1	CHR_HSCHR6_MHC_DBB_CTG1	29100958	29101896
PRELID3BP3	17	62841101	62841645
MAP3K14	CHR_HSCHR17_2_CTG5	45316960	45317040
NPM1P21	8	56101199	56102267
OR51B6	11	5351508	5352446
B3GNTL1	17	82942155	83051810
MICC	CHR_HSCHR6_MHC_APD_CTG1	30478618	30483222
TAS2R30	CHR_HSCHR12_2_CTG2	11115354	11166592
ZNF25	10	37949572	37976633
TOMM20L	14	58395916	58408701
CERS3-AS1	15	100372939	100437914
USP17L12	4	9220152	9221744
HSPD1P3	CHR_HSCHR8_3_CTG1	7410936	7412491
IFITM9P	11	69303412	69303807
OR6M2P	11	123841006	123841876
GLUD1P7	10	46759019	46786770
CTH	1	70411218	70439851
AHCYP5	2	195582794	195584031
LINC00533	6	28648286	28649066
PLEKHG4B	5	140258	189970
FGF14-AS2	13	102394630	102395703
ANP32BP3	15	81117635	81118340
FGF14-AS1	13	102367539	102373666
PROM1	4	15963076	16084378
GJB3	1	34781189	34786369
CLN8	8	1755778	1786572
MB	22	35606764	35637951
DENND3	8	141117278	141195808
HMGB3P7	13	101801878	101802488
SHISA7	19	55428740	55442863
TRPM5	11	2404515	2423045
BRD7P5	13	94757451	94759272
UBE2FP2	16	63180610	63181071
GUSBP1	5	21341833	21589372
KCNJ3	2	154698299	154858352
FABP5P6	5	119555250	119555658
APP	21	25880550	26171128
FGF14	13	101710804	102402457
IGKV1D-8	2	90220727	90221384
HILS1	17	50171428	50181178
ZNF561-AS1	19	9621291	9645896
TMEM86A	11	18693122	18704785
HIST2H2BE	1	149842204	149886652
OR52D1	11	5488685	5489749
PRRC2A	CHR_HSCHR6_MHC_DBB_CTG1	31602891	31619942
CCDC142	2	74471986	74483408
KRT8P1	14	38727275	38728481
ATG5	6	106184476	106325820
EFCAB14	1	46675159	46719064
LINC00971	3	84638406	84881679
CNNM1	10	99329099	99394330
OLMALINC	10	100373615	100383368
ZNF70P1	CHR_HSCHR6_MHC_MANN_CTG1	33369589	33370212
MAP2K6	17	69414698	69543331
C1DP5	11	83111060	83111442
HPSE2	10	98457077	99235862
SPG20-AS1	13	36346431	36369601
SPDYE5	7	75493625	75504304
IL19	1	206798870	206842981
HTATSF1P1	CHR_HSCHR6_MHC_MANN_CTG1	33391691	33393582
GOPC	6	117560269	117602542
CCDC92	CHR_HSCHR12_6_CTG2_1	123918723	123946006
CRACR2B	11	826144	831991
TFDP2	3	141944428	142149544
SMARCA1	X	129446501	129523500
SMIM10L2A	X	135421943	135428074
JPH4	14	23568035	23578800
IL9RP2	10	80394	86265
EEF1GP5	X	115702811	115704120
TMEM64	8	90621995	90791632
HLA-DQB2	CHR_HSCHR6_MHC_DBB_CTG1	32735261	32742700
CCDC169-SOHLH2	13	36168794	36297842
RIPPLY3	21	37006150	37019659
MRPL49P2	8	16374618	16375082
MOS	8	56112942	56113982
IGBP1P3	3	32620903	32621902
TPRKBP2	16	28111173	28111647
GUCA2A	1	42162691	42164718
GOSR1	17	30477362	30527592
PSRC1	1	109279556	109283186
TMEM265	16	30740381	30744281
LIPT1P1	13	102002125	102003310
PRAC2	17	48723168	48724758
TRIM67	1	231162112	231221556
DCLK2	4	150078274	150257457
FAM104A	17	73207353	73236753
CTRB2	16	75204096	75207185
KRT19P6	4	91885046	91885254
KIRREL3-AS2	11	126940746	126945090
C5orf46	5	147880726	147906538
NUP210P1	3	126660609	126671939
GAB4	22	16961936	17008222
ATG12	5	115828200	115841858
LINC01498	12	108434130	108492585
FGF1	5	142592178	142698070
HCG4	6	29791753	29792750
MAGI3	1	113390749	113685923
GPR157	1	9100305	9129170
TRAJ57	14	22478872	22478934
OR4U1P	14	20043916	20044827
KRTAP10-4	21	44573729	44575371
AARSD1	17	42950526	42964498
ZDHHC8	22	20129456	20148007
RPL5P34	22	42776406	42777296
PLCH1	3	155375580	155745067
TTTY21	Y	9717653	9721296
SH2D5	1	20719732	20732837
FAM170A	5	119629559	119635822
LINC01499	11	41714568	41836442
SIRPG	20	1629152	1657779
SETD2	3	47016429	47163967
ZNF276	16	89720400	89740903
LINC01624	CHR_HSCHR6_1_CTG5	170272763	170279887
LRRC37A3	17	64854312	64919480
ZNF160	19	53066606	53103436
TYRL	11	49405091	49415789
IFNL2	19	39268514	39270092
NLRC4	2	32224453	32265854
IRF6	1	209785623	209806175
NBPF7	1	119834870	119844514
ZBTB12P1	4	39770081	39771371
CEBPZ	2	37201612	37231713
KLHDC7A	1	18480982	18486126
CYP2F1	19	41114432	41128366
ZBTB10	8	80485619	80526265
CYP27B1	12	57762334	57768986
FER1L5	2	96642737	96704887
TXNDC11	16	11679080	11742878
ZNF257	19	22052452	22091480
NOMO2	16	18417325	18562211
CROCCP1	X	135432960	135438634
NFYC	1	40691570	40771603
WDR3	1	117929720	117966542
KRTAP13-2	21	30348075	30425912
LINC00626	1	168786939	168792886
RAG1	11	36510709	36593156
ROBO2P1	7	51600286	51600573
ELMO1	7	36854361	37449249
C18orf15	18	13239543	13242076
LINC01013	6	132131915	132169374
ZSCAN32	16	3382081	3401065
FRAT1	10	97319267	97321915
DANT1	X	115840964	115843050
SEC22A	3	123201927	123274130
NR2E3	15	71792638	71818259
AADACL4	1	12644547	12667086
ABTB1	3	127672935	127680920
SURF4	9	133361449	133376166
ARHGEF10	8	1823976	1958641
MTND2P25	X	62843697	62844306
OR6M3P	11	123861822	123862521
PTMAP1	CHR_HSCHR6_MHC_COX_CTG1	30623474	30623740
GAGE12E	X	49551333	49558649
RPL30P4	3	32635222	32635554
TCN1	11	59852800	59866575
PCOLCE-AS1	7	100589402	100604206
SIMC1	5	176238367	176345991
IGHVII-49-1	CHR_HSCHR14_3_CTG1	106589056	106589279
IGHVII-53-1	CHR_HSCHR14_3_CTG1	106624351	106624605
RNF39	CHR_HSCHR6_MHC_MANN_CTG1	30065423	30071044
IGHV7-56	CHR_HSCHR14_3_CTG1	106634443	106634877
C11orf72	11	67602880	67606706
CFAP161	15	81007033	81149175
COX5AP2	14	52117602	52117995
ACTBP2	5	77784881	77786003
CBX3P8	11	49406190	49406714
C10orf12	10	96981284	96986212
EEF1A1	6	73515750	73523797
IGHV4-59	CHR_HSCHR14_3_CTG1	106651930	106652506
CBWD2	2	113437691	113496189
KIR3DL3	CHR_HSCHR19KIR_G085_BA1_HAP_CTG3_1	54724454	54736547
CD38	4	15778275	15853230
FXYD6P3	X	73875068	73875635
CD4	12	6786858	6820808
TRMT112P3	17	62950831	62951188
TTTY2	Y	9740584	9758476
OR4L1	14	20060045	20060983
ITGA11	15	68296533	68432162
RPL21P10	14	77683202	77683989
LINC01315	22	42364400	42369236
MTND1P35	11	89908540	89909047
COL11A1	1	102876467	103108496
PRDM10	11	129899706	130002835
C4orf26	4	75556048	75565885
BCAS2P1	11	83132056	83134737
